Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score��,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Eleva
"Running,2026-04-24 21:46:09,false,""1 hour 2 zone"",""6.78"",""506"",""00:34:48"",""136"",""148"",""2.8"",""162"",""169"",""5:08"",""4:31"",""5"",""5"",""1.21"",""9.0"",""11.0"",""240"",""50.2% L / 49.8% R"",""0.0"",""5,588"",""14.0"",""No"",""00:03:52.2"",""7"",""23.0"",""29"",""18"",""36"",""00:34:15"",""00:37:30"",""4"",""9"""
"Running,2026-04-23 21:32:48,false,""Run 23.04.26"",""16.12"",""1,186"",""01:20:02"",""145"",""173"",""3.9"",""165"",""224"",""4:58"",""2:34"",""163"",""164"",""1.20"",""8.2"",""9.7"",""235"",""49.3% L / 50.7% R"",""0.0"",""12,994"",""10.0"",""No"",""00:00:35.1"",""26"",""14.0"",""34"",""21"",""48"",""01:19:42"",""01:20:02"",""-279"",""76"""
"Running,2026-04-18 08:50:41,false,""Running"",""9.90"",""712"",""00:39:25"",""164"",""174"",""4.3"",""178"",""199"",""3:59"",""3:01"",""15"",""10"",""1.43"",""6.5"",""9.7"",""208"",""50.2% L / 49.8% R"",""0.0"",""6,918"",""14.0"",""No"",""00:03:24.7"",""10"",""17.0"",""39"",""28"",""46"",""00:39:23"",""00:39:25"",""-0"",""12"""
"Running,2026-04-17 21:59:45,false,""Running"",""7.95"",""576"",""00:40:03"",""135"",""144"",""2.9"",""165"",""168"",""5:02"",""4:35"",""13"",""6"",""1.21"",""9.1"",""11.3"",""230"",""49.8% L / 50.3% R"",""0.0"",""6,528"",""13.0"",""No"",""00:04:38.9"",""8"",""24.0"",""29"",""20"",""37"",""00:40:01"",""00:40:03"",""2"",""13"""
"Running,2026-04-15 22:45:52,false,""1 hour 2 zone"",""12.24"",""880"",""01:00:02"",""138"",""148"",""3.2"",""168"",""176"",""4:54"",""4:42"",""7"",""7"",""1.22"",""8.6"",""10.8"",""227"",""49.7% L / 50.3% R"",""0.0"",""9,962"",""10.0"",""No"",""00:00:01.7"",""14"",""23.0"",""31"",""16"",""40"",""00:59:59"",""01:00:02"",""3"",""10"""
"Running,2026-04-14 23:47:37,false,""Run 14.04.26"",""13.87"",""1,012"",""01:12:37"",""137"",""162"",""3.5"",""159"",""214"",""5:14"",""2:36"",""17"",""15"",""1.18"",""8.2"",""9.7"",""245"",""49.0% L / 51.0% R"",""0.0"",""11,410"",""-17.0"",""No"",""00:00:34.0"",""24"",""20.0"",""31"",""19"",""46"",""01:12:32"",""01:12:37"",""--"",""11"""
"Running,2026-04-12 10:29:58,false,""1 h 15 m, 2 zone"",""14.25"",""1,026"",""01:15:02"",""132"",""153"",""3.1"",""167"",""173"",""5:16"",""4:59"",""11"",""11"",""1.14"",""8.9"",""10.3"",""245"",""50.8% L / 49.3% R"",""0.0"",""12,442"",""14.0"",""No"",""00:00:01.9"",""16"",""23.0"",""34"",""22"",""44"",""01:14:59"",""01:15:02"",""1"",""7"""
"Running,2026-04-11 11:47:18,false,""Run 11.04.26"",""17.13"",""1,230"",""01:25:02"",""139"",""158"",""3.9"",""164"",""230"",""4:58"",""3:28"",""94"",""94"",""1.21"",""7.4"",""9.1"",""229"",""49.6% L / 50.4% R"",""0.0"",""13,720"",""13.0"",""No"",""00:01:30"",""24"",""24.0"",""33"",""19"",""46"",""01:23:58"",""01:25:02"",""-173"",""69"""
"Running,2026-04-10 19:51:06,false,""1 hour 2 zone"",""12.09"",""864"",""01:00:02"",""136"",""148"",""3.2"",""170"",""173"",""4:58"",""4:47"",""5"",""5"",""1.19"",""8.5"",""10.4"",""233"",""49.4% L / 50.6% R"",""0.0"",""10,088"",""12.0"",""No"",""00:00:01.6"",""14"",""22.0"",""32"",""21"",""39"",""00:59:57"",""01:00:02"",""-5"",""-1"""
"Running,2026-04-09 10:26:10,false,""Run 09.04.26"",""10.34"",""766"",""00:50:01"",""144"",""156"",""3.4"",""170"",""176"",""4:50"",""4:08"",""5"",""6"",""1.21"",""8.3"",""10.3"",""234"",""50.2% L / 49.8% R"",""0.0"",""8,436"",""15.0"",""No"",""00:00:00.8"",""14"",""23.0"",""32"",""22"",""43"",""00:49:57"",""00:50:01"",""-4"",""2"""
